track_name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,track_popularity,pop_rank,pop_denserank,track_duration
Cruel Summer,0.551999986,0.702000022,-5.706999779,1,0.157000005,0.116999999,2.06E-05,0.104999997,0.56400001,169.9940033,0,99,1,1,02:58.0
Lover,0.358999997,0.542999983,-7.581999779,1,0.091899998,0.492000014,1.58E-05,0.118000001,0.453000009,68.53399658,0,93,2,2,03:41.0
Don’t Blame Me,0.61500001,0.533999979,-6.718999863,0,0.038600001,0.105999999,1.76E-05,0.060699999,0.193000004,135.9170074,0,92,3,3,03:56.0
Look What You Made Me Do,0.765999973,0.708999991,-6.471000195,0,0.123000003,0.203999996,1.41E-05,0.126000002,0.505999982,128.0700073,0,88,4,4,03:31.0
Delicate,0.75,0.404000014,-10.17800045,0,0.0682,0.216000006,3.57E-04,0.0911,0.049899999,95.04499817,0,88,4,4,03:52.0
Getaway Car,0.561999977,0.68900001,-6.744999886,1,0.127000004,0.00465,2.23E-06,0.088799998,0.351000011,172.0540009,0,87,6,5,03:53.0
...Ready For It?,0.612999976,0.763999999,-6.508999825,1,0.136000007,0.052700002,0,0.196999997,0.416999996,160.0149994,0,87,6,5,03:28.0
The Man,0.77700001,0.657999992,-5.190999985,1,0.054000001,0.076700002,0,0.090099998,0.633000016,110.0479965,0,87,6,5,03:10.0
Enchanted (Taylor's Version),0.504999995,0.532000005,-3.526000023,1,0.0265,0.012,0,0.149000004,0.216000006,81.90699768,0,86,9,6,05:53.0
You Belong With Me (Taylor’s Version),0.632000029,0.773000002,-4.855999947,1,0.034600001,0.0623,0.00E+00,0.088500001,0.474000007,130.0330048,0,86,9,6,03:51.0
Paper Rings,0.81099999,0.718999982,-6.552999973,1,0.049699999,0.0129,1.36E-05,0.074199997,0.86500001,103.9789963,0,86,9,6,03:42.0
I Don’t Wanna Live Forever (Fifty Shades Darker),0.731000006,0.444999993,-8.418000221,1,0.053300001,0.058600001,1.96E-05,0.140000001,0.105999999,117.9700012,0,86,9,6,04:07.0
You Need To Calm Down,0.771000028,0.671000004,-5.617000103,1,0.055300001,0.00929,0,0.063699998,0.713999987,85.02600098,0,85,13,7,02:51.0
Daylight,0.556999981,0.495999992,-9.602000237,1,0.056299999,0.808000028,0.000173,0.077200003,0.264999986,149.9830017,0,85,13,7,04:53.0
Miss Americana & The Heartbreak Prince,0.662,0.746999979,-6.926000118,0,0.073600002,0.028000001,0.00615,0.137999997,0.486999989,150.0879974,0,84,15,8,03:54.0
The Archer,0.291999996,0.574000001,-9.375,1,0.040100001,0.119999997,0.00569,0.066299997,0.165999994,124.3440018,0,84,15,8,03:31.0
right where you left me - bonus track,0.58099997,0.619000018,-6.524000168,1,0.028200001,0.768999994,1.06E-04,0.116999999,0.644999981,137.9149933,0,83,17,9,04:05.0
I Did Something Bad,0.69599998,0.601999998,-6.156000137,0,0.158999994,0.067900002,2.11E-05,0.069600001,0.305000007,82.98899841,0,83,17,9,03:58.0
Gorgeous,0.800000012,0.535000026,-6.684000015,1,0.135000005,0.0713,9.48E-06,0.213,0.451000005,92.02700043,0,83,17,9,03:29.0
Love Story (Taylor’s Version),0.626999974,0.791999996,-4.31099987,1,0.030999999,0.129999995,3.97E-06,0.0845,0.414999992,119.0540009,0,83,17,9,03:55.0
Fearless (Taylor’s Version),0.569000006,0.740999997,-4.962999821,1,0.028200001,0.0122,0,0.333000004,0.430000007,100.1179962,0,83,17,9,04:01.0
Back To December (Taylor's Version),0.497000009,0.63499999,-3.927000046,1,0.0273,0.00621,0,0.116999999,0.202999994,142.0630035,0,83,17,9,04:54.0
I Can See You (Taylor’s Version) (From The Vault),0.694000006,0.763999999,-4.893000126,1,0.0337,0.058600001,0,0.060800001,0.819000006,123.0439987,0,83,17,9,04:33.0
Dress,0.718999982,0.469000012,-8.791999817,1,0.053300001,0.032900002,0.00E+00,0.169,0.085100003,120.0849991,0,82,24,10,03:50.0
Mine (Taylor's Version),0.646000028,0.782999992,-2.845999956,1,0.035599999,0.00444,1.38E-06,0.171000004,0.49000001,121.0800018,0,82,24,10,03:51.0
The Way I Loved You (Taylor’s Version),0.40200001,0.731999993,-4.664999962,1,0.0484,0.0033,0,0.108000003,0.472000003,161.0319977,0,82,24,10,04:03.0
Afterglow,0.755999982,0.449000001,-8.74600029,1,0.034400001,0.129999995,0,0.114,0.398999989,111.0110016,0,82,24,10,03:43.0
Call It What You Want,0.59799999,0.504000008,-9.873999596,1,0.073100001,0.186000004,0.000221,0.340000004,0.252000004,163.9539948,0,82,24,10,03:23.0
End Game,0.648999989,0.588999987,-6.236999989,1,0.055799998,0.00845,0,0.108000003,0.150999993,159.072998,0,82,24,10,04:04.0
ME! (feat. Brendon Urie of Panic! At The Disco),0.610000014,0.829999983,-4.105000019,1,0.057100002,0.033,0,0.118000001,0.727999985,182.1620026,0,81,30,11,03:13.0
Cornelia Street,0.824000001,0.624000013,-9.727999687,1,0.082699999,0.781000018,0.000189,0.100000001,0.247999996,102.012001,0,81,30,11,04:47.0
I Knew You Were Trouble (Taylor's Version),0.583999991,0.556999981,-6.370999813,1,0.034200002,0.0129,0.00E+00,0.057599999,0.76700002,154.0079956,0,81,30,11,03:39.0
We Are Never Ever Getting Back Together (Taylor's Version),0.566999972,0.68599999,-6.138999939,1,0.174999997,0.0317,1.86E-06,0.073200002,0.716000021,172.0140076,0,81,30,11,03:13.0
King Of My Heart,0.675000012,0.703000009,-7.90199995,1,0.038199998,0.00882,2.21E-06,0.039099999,0.31400001,110.0100021,0,80,34,12,03:34.0
London Boy,0.694999993,0.709999979,-6.638999939,1,0.050000001,0.024599999,0.000104,0.133000001,0.556999981,157.9250031,0,80,34,12,03:10.0
Long Live (Taylor's Version),0.375,0.649999976,-4.031000137,1,0.040199999,0.0122,0.00E+00,0.188999996,0.075199999,203.8899994,0,80,34,12,05:17.0
Red (Taylor's Version),0.515999973,0.77700001,-4.907999992,0,0.037500001,0.00108,1.62E-06,0.076099999,0.407999992,125.0469971,0,80,34,12,03:43.0
22 (Taylor's Version),0.64200002,0.694999993,-5.619999886,1,0.028100001,0.000443,1.02E-05,0.075300001,0.64200002,103.9840012,0,80,34,12,03:50.0
I Think He Knows,0.897000015,0.365999997,-8.029000282,1,0.056899998,0.00889,0.000353,0.071500003,0.416000009,100.0029984,0,79,39,13,02:53.0
Sparks Fly (Taylor’s Version),0.588,0.758000016,-2.346999884,1,0.0305,0.0251,0,0.130999997,0.386999995,114.9909973,0,79,39,13,04:21.0
Death By A Thousand Cuts,0.712000012,0.731999993,-6.754000187,1,0.062899999,0.453999996,0,0.319000006,0.312999994,94.07099915,0,79,39,13,03:18.0
